Dx     1st order  2nd order  4th order      real
1/1     4.670774   3.194528   2.616233  2.718282
1/2     3.526814   2.832968   2.712448  2.718282
1/3     3.226158   2.768901   2.717148  2.718282
1/4     3.088245   2.746686   2.717925  2.718282
1/5     3.009175   2.736440   2.718136  2.718282
1/6     2.957932   2.730884   2.718212  2.718282
1/7     2.922031   2.727537   2.718244  2.718282
1/8     2.895480   2.725366   2.718260  2.718282
1/9     2.875050   2.723878   2.718268  2.718282
1/10    2.858842   2.722815   2.718273  2.718282
1/11    2.845671   2.722028   2.718276  2.718282
1/12    2.834756   2.721429   2.718277  2.718282
1/13    2.825564   2.720963   2.718279  2.718282
1/14    2.817717   2.720594   2.718279  2.718282
1/15    2.810939   2.720296   2.718280  2.718282
1/16    2.805026   2.720052   2.718280  2.718282
1/17    2.799822   2.719850   2.718281  2.718282
1/18    2.795208   2.719680   2.718281  2.718282
1/19    2.791087   2.719537   2.718281  2.718282
1/20    2.787386   2.719415   2.718281  2.718282
1/21    2.784042   2.719309   2.718281  2.718282
1/22    2.781008   2.719218   2.718281  2.718282
1/23    2.778241   2.719138   2.718282  2.718282
1/24    2.775708   2.719068   2.718282  2.718282
1/25    2.773380   2.719007   2.718282  2.718282
1/26    2.771233   2.718952   2.718282  2.718282
1/27    2.769248   2.718903   2.718282  2.718282
1/28    2.767406   2.718860   2.718282  2.718282
1/29    2.765692   2.718821   2.718282  2.718282
1/30    2.764094   2.718785   2.718282  2.718282
1/31    2.762600   2.718753   2.718282  2.718282
1/32    2.761201   2.718724   2.718282  2.718282
1/33    2.759887   2.718698   2.718282  2.718282
1/34    2.758651   2.718674   2.718282  2.718282
1/35    2.757487   2.718652   2.718282  2.718282
1/36    2.756388   2.718631   2.718282  2.718282
1/37    2.755349   2.718613   2.718282  2.718282
1/38    2.754365   2.718596   2.718282  2.718282
1/39    2.753431   2.718580   2.718282  2.718282
1/40    2.752545   2.718565   2.718282  2.718282
1/41    2.751703   2.718551   2.718282  2.718282
1/42    2.750901   2.718539   2.718282  2.718282
1/43    2.750136   2.718527   2.718282  2.718282
1/44    2.749407   2.718516   2.718282  2.718282
1/45    2.748710   2.718506   2.718282  2.718282
1/46    2.748044   2.718496   2.718282  2.718282
1/47    2.747406   2.718487   2.718282  2.718282
1/48    2.746795   2.718478   2.718282  2.718282
1/49    2.746209   2.718471   2.718282  2.718282
1/50    2.745647   2.718463   2.718282  2.718282
1/51    2.745107   2.718456   2.718282  2.718282
1/52    2.744588   2.718449   2.718282  2.718282
1/53    2.744088   2.718443   2.718282  2.718282
1/54    2.743607   2.718437   2.718282  2.718282
1/55    2.743144   2.718432   2.718282  2.718282
1/56    2.742697   2.718426   2.718282  2.718282
1/57    2.742266   2.718421   2.718282  2.718282
1/58    2.741851   2.718417   2.718282  2.718282
1/59    2.741449   2.718412   2.718282  2.718282
1/60    2.741061   2.718408   2.718282  2.718282
1/61    2.740685   2.718404   2.718282  2.718282
1/62    2.740322   2.718400   2.718282  2.718282
1/63    2.739970   2.718396   2.718282  2.718282
1/64    2.739629   2.718392   2.718282  2.718282
1/65    2.739299   2.718389   2.718282  2.718282
1/66    2.738979   2.718386   2.718282  2.718282
1/67    2.738669   2.718383   2.718282  2.718282
1/68    2.738368   2.718380   2.718282  2.718282
1/69    2.738075   2.718377   2.718282  2.718282
1/70    2.737791   2.718374   2.718282  2.718282
1/71    2.737515   2.718372   2.718282  2.718282
1/72    2.737246   2.718369   2.718282  2.718282
1/73    2.736986   2.718367   2.718282  2.718282
1/74    2.736732   2.718365   2.718282  2.718282
1/75    2.736485   2.718362   2.718282  2.718282
1/76    2.736244   2.718360   2.718282  2.718282
1/77    2.736010   2.718358   2.718282  2.718282
1/78    2.735781   2.718356   2.718282  2.718282
1/79    2.735559   2.718354   2.718282  2.718282
1/80    2.735342   2.718353   2.718282  2.718282
1/81    2.735131   2.718351   2.718282  2.718282
1/82    2.734924   2.718349   2.718282  2.718282
1/83    2.734723   2.718348   2.718282  2.718282
1/84    2.734526   2.718346   2.718282  2.718282
1/85    2.734335   2.718345   2.718282  2.718282
1/86    2.734147   2.718343   2.718282  2.718282
1/87    2.733964   2.718342   2.718282  2.718282
1/88    2.733785   2.718340   2.718282  2.718282
1/89    2.733610   2.718339   2.718282  2.718282
1/90    2.733439   2.718338   2.718282  2.718282
1/91    2.733272   2.718337   2.718282  2.718282
1/92    2.733109   2.718335   2.718282  2.718282
1/93    2.732949   2.718334   2.718282  2.718282
1/94    2.732792   2.718333   2.718282  2.718282
1/95    2.732639   2.718332   2.718282  2.718282
1/96    2.732489   2.718331   2.718282  2.718282
1/97    2.732342   2.718330   2.718282  2.718282
1/98    2.732198   2.718329   2.718282  2.718282
1/99    2.732057   2.718328   2.718282  2.718282
1/100   2.731919   2.718327   2.718282  2.718282
