Dx     1st order  2nd order     4th order
1/1    -0.114978   0.133398  2.489766e-02
1/2    -0.097659   0.034626  1.701644e-03
1/3    -0.073723   0.015496  3.417334e-04
1/4    -0.058449   0.008738  1.087543e-04
1/5    -0.048252   0.005599  4.466524e-05
1/6    -0.041031   0.003890  2.157132e-05
1/7    -0.035668   0.002859  1.165388e-05
1/8    -0.031535   0.002190  6.835182e-06
1/9    -0.028256   0.001730  4.268837e-06
1/10   -0.025591   0.001402  2.801566e-06
1/11   -0.023384   0.001159  1.913903e-06
1/12   -0.021526   0.000974  1.351555e-06
1/13   -0.019941   0.000830  9.813830e-07
1/14   -0.018573   0.000715  7.296960e-07
1/15   -0.017380   0.000623  5.537619e-07
1/16   -0.016331   0.000548  4.277953e-07
1/17   -0.015401   0.000485  3.356938e-07
1/18   -0.014572   0.000433  2.670966e-07
1/19   -0.013827   0.000388  2.151594e-07
1/20   -0.013154   0.000351  1.752543e-07
1/21   -0.012544   0.000318  1.441861e-07
1/22   -0.011988   0.000290  1.197072e-07
1/23   -0.011479   0.000265  1.002095e-07
1/24   -0.011011   0.000243  8.452461e-08
1/25   -0.010580   0.000224  7.179185e-08
1/26   -0.010182   0.000207  6.136885e-08
1/27   -0.009812   0.000192  5.277059e-08
1/28   -0.009468   0.000179  4.562678e-08
1/29   -0.009148   0.000167  3.965194e-08
1/30   -0.008848   0.000156  3.462385e-08
1/31   -0.008568   0.000146  3.036808e-08
1/32   -0.008305   0.000137  2.674653e-08
1/33   -0.008057   0.000129  2.364910e-08
1/34   -0.007824   0.000121  2.098735e-08
1/35   -0.007604   0.000114  1.868975e-08
1/36   -0.007396   0.000108  1.669814e-08
1/37   -0.007198   0.000102  1.496488e-08
1/38   -0.007012   0.000097  1.345079e-08
1/39   -0.006834   0.000092  1.212343e-08
1/40   -0.006666   0.000088  1.095584e-08
1/41   -0.006505   0.000083  9.925484e-09
1/42   -0.006352   0.000080  9.013460e-09
1/43   -0.006206   0.000076  8.203816e-09
1/44   -0.006067   0.000072  7.483084e-09
1/45   -0.005934   0.000069  6.839783e-09
1/46   -0.005806   0.000066  6.264149e-09
1/47   -0.005684   0.000063  5.747818e-09
1/48   -0.005567   0.000061  5.283605e-09
1/49   -0.005455   0.000058  4.865328e-09
1/50   -0.005347   0.000056  4.487630e-09
1/51   -0.005243   0.000054  4.145888e-09
1/52   -0.005143   0.000052  3.836061e-09
1/53   -0.005047   0.000050  3.554643e-09
1/54   -0.004955   0.000048  3.298563e-09
1/55   -0.004865   0.000046  3.065143e-09
1/56   -0.004779   0.000045  2.852000e-09
1/57   -0.004696   0.000043  2.657066e-09
1/58   -0.004616   0.000042  2.478509e-09
1/59   -0.004538   0.000040  2.314708e-09
1/60   -0.004463   0.000039  2.164206e-09
1/61   -0.004391   0.000038  2.025743e-09
1/62   -0.004321   0.000036  1.898185e-09
1/63   -0.004253   0.000035  1.780510e-09
1/64   -0.004187   0.000034  1.671808e-09
1/65   -0.004123   0.000033  1.571277e-09
1/66   -0.004061   0.000032  1.478192e-09
1/67   -0.004001   0.000031  1.391892e-09
1/68   -0.003942   0.000030  1.311811e-09
1/69   -0.003886   0.000029  1.237398e-09
1/70   -0.003831   0.000029  1.168199e-09
1/71   -0.003777   0.000028  1.103758e-09
1/72   -0.003725   0.000027  1.043711e-09
1/73   -0.003674   0.000026  9.876816e-10
1/74   -0.003625   0.000026  9.353647e-10
1/75   -0.003577   0.000025  8.864700e-10
1/76   -0.003530   0.000024  8.407294e-10
1/77   -0.003485   0.000024  7.979029e-10
1/78   -0.003440   0.000023  7.577612e-10
1/79   -0.003397   0.000022  7.201112e-10
1/80   -0.003355   0.000022  6.847827e-10
1/81   -0.003314   0.000021  6.515815e-10
1/82   -0.003274   0.000021  6.203718e-10
1/83   -0.003234   0.000020  5.910158e-10
1/84   -0.003196   0.000020  5.633739e-10
1/85   -0.003159   0.000019  5.373241e-10
1/86   -0.003122   0.000019  5.127612e-10
1/87   -0.003087   0.000019  4.895857e-10
1/88   -0.003052   0.000018  4.677070e-10
1/89   -0.003018   0.000018  4.470431e-10
1/90   -0.002984   0.000017  4.275138e-10
1/91   -0.002952   0.000017  4.090276e-10
1/92   -0.002920   0.000017  3.915195e-10
1/93   -0.002889   0.000016  3.749581e-10
1/94   -0.002858   0.000016  3.592536e-10
1/95   -0.002828   0.000016  3.443543e-10
1/96   -0.002799   0.000015  3.302396e-10
1/97   -0.002770   0.000015  3.168307e-10
1/98   -0.002742   0.000015  3.040979e-10
1/99   -0.002714   0.000014  2.919913e-10
1/100  -0.002687   0.000014  2.804910e-10
